Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_022032_20180725_20180731_01_T1,LC80220322018206LGN00,2018/07/25,T1,1, 022, 032, 022, 032,NADIR,-.001,2018/07/31,2018:206:16:28:16.9878900,2018:206:16:28:48.7578890,LGN,DAY,4.64,4.64,260,4,6.653,4.808,4.6,9,LPGS_13.1.0,62.13369787,131.79046293,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180725160848_20180725163615.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.43"N,87°12'29.99"W,41°23'13.78"N,88°02'32.86"W,40°58'38.68"N,85°49'48.79"W,39°40'13.98"N,88°33'43.56"W,39°15'46.73"N,86°24'17.86"W,40.33262,-87.20833,41.38716,-88.04246,40.97741,-85.83022,39.67055,-88.5621,39.26298,-86.40496,LC08_L1TP_022032_20180725_20180731_01_T1,LC80220322018206LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322018206LGN00
LC08_L1TP_023032_20180716_20180730_01_T1,LC80230322018197LGN00,2018/07/16,T1,1, 023, 032, 023, 032,NADIR,-.001,2018/07/30,2018:197:16:34:24.5327870,2018:197:16:34:56.3027850,LGN,DAY,27.54,27.54,78,4,7.774,5.658,5.331,9,LPGS_13.1.0,63.54790401,129.59517229,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180716161408_20180716164222.03,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.79"N,88°45'35.06"W,41°23'13.99"N,89°35'38.29"W,40°58'38.86"N,87°22'53.62"W,39°40'14.30"N,90°06'48.85"W,39°15'47.05"N,87°57'22.54"W,40.33272,-88.75974,41.38722,-89.59397,40.97746,-87.38156,39.67064,-90.11357,39.26307,-87.95626,LC08_L1TP_023032_20180716_20180730_01_T1,LC80230322018197LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322018197LGN00
LC08_L1TP_022032_20180709_20180717_01_T1,LC80220322018190LGN00,2018/07/09,T1,1, 022, 032, 022, 032,NADIR,-.001,2018/07/17,2018:190:16:28:10.6168760,2018:190:16:28:42.3868750,LGN,DAY,25.49,25.49,103,4,7.856,5.059,6.01,9,LPGS_13.1.0,64.44458679,128.43957665,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180709160906_20180709163608.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.22"N,87°13'00.08"W,41°23'13.45"N,88°03'03.49"W,40°58'38.03"N,85°50'18.60"W,39°40'14.02"N,88°34'14.34"W,39°15'46.55"N,86°24'47.74"W,40.33256,-87.21669,41.38707,-88.05097,40.97723,-85.8385,39.67056,-88.57065,39.26293,-86.41326,LC08_L1TP_022032_20180709_20180717_01_T1,LC80220322018190LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322018190LGN00
LC08_L1TP_023032_20180630_20180716_01_T1,LC80230322018181LGN00,2018/06/30,T1,1, 023, 032, 023, 032,NADIR,-.001,2018/07/16,2018:181:16:34:16.8954810,2018:181:16:34:48.6654790,LGN,DAY,9.64,9.64,157,4,7.51,5.485,5.129,9,LPGS_13.1.0,65.30247284,127.76142128,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180630161400_20180630164215.01,LT8BPF20180628211945_20180713101632.01,LC08CPF_20180401_20180630_01.03,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.97"N,88°45'49.03"W,41°23'14.10"N,89°35'52.30"W,40°58'38.71"N,87°23'07.30"W,39°40'14.63"N,90°07'02.96"W,39°15'47.16"N,87°57'36.25"W,40.33277,-88.76362,41.38725,-89.59786,40.97742,-87.38536,39.67073,-90.11749,39.2631,-87.96007,LC08_L1TP_023032_20180630_20180716_01_T1,LC80230322018181LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322018181LGN00
LC08_L1GT_022032_20180623_20180704_01_T2,LC80220322018174LGN00,2018/06/23,T2,1, 022, 032, 022, 032,NADIR,-.001,2018/07/04,2018:174:16:28:01.9967680,2018:174:16:28:33.7667670,LGN,DAY,94.72,94.72,-1,4,0,0,0,9,LPGS_13.1.0,65.71945396,127.9002077,FINAL,OLI_TIRS_L1GT,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180623160921_20180623163600.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.40"N,87°13'01.99"W,41°23'13.63"N,88°03'05.11"W,40°58'38.17"N,85°50'20.29"W,39°40'14.12"N,88°34'16.07"W,39°15'46.55"N,86°24'49.46"W,40.33261,-87.21722,41.38712,-88.05142,40.97727,-85.83897,39.67059,-88.57113,39.26293,-86.41374,LC08_L1GT_022032_20180623_20180704_01_T2,LC80220322018174LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322018174LGN00
LC08_L1TP_023032_20180614_20180703_01_T1,LC80230322018165LGN00,2018/06/14,T1,1, 023, 032, 023, 032,NADIR,-.001,2018/07/03,2018:165:16:34:06.8995530,2018:165:16:34:38.6695510,LGN,DAY,49.92,49.92,185,4,7.563,5.532,5.157,9,LPGS_13.1.0,65.89271379,128.91400231,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15941,15681,7971,7841,7971,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180614161327_20180614164205.02,LT8BPF20180613103356_20180628185831.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.43"N,88°45'34.02"W,41°23'13.70"N,89°35'37.10"W,40°58'38.28"N,87°22'52.57"W,39°40'14.16"N,90°06'47.99"W,39°15'46.66"N,87°57'21.71"W,40.33262,-88.75945,41.38714,-89.59364,40.9773,-87.38127,39.6706,-90.11333,39.26296,-87.95603,LC08_L1TP_023032_20180614_20180703_01_T1,LC80230322018165LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322018165LGN00
LC08_L1TP_022032_20180607_20180615_01_T1,LC80220322018158LGN00,2018/06/07,T1,1, 022, 032, 022, 032,NADIR,-.001,2018/06/15,2018:158:16:27:50.9131340,2018:158:16:28:22.6831330,LGN,DAY,18.57,18.57,315,4,6.624,4.327,5.015,9,LPGS_13.1.0,65.71365402,130.26538129,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20180607160734_20180607163549.03,LT8BPF20180530070031_20180613095151.01,LC08CPF_20180401_20180630_01.02,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.50"N,87°12'35.10"W,41°23'13.78"N,88°02'38.04"W,40°58'38.46"N,85°49'53.87"W,39°40'14.20"N,88°33'49.14"W,39°15'46.76"N,86°24'23.22"W,40.33264,-87.20975,41.38716,-88.0439,40.97735,-85.83163,39.67061,-88.56365,39.26299,-86.40645,LC08_L1TP_022032_20180607_20180615_01_T1,LC80220322018158LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322018158LGN00
LC08_L1TP_023032_20170729_20170811_01_T1,LC80230322017210LGN00,2017/07/29,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/08/11,2017:210:16:35:10.5946780,2017:210:16:35:42.3646750,LGN,DAY,2.96,2.96,302,4,6.9,5.097,4.651,9,LPGS_2.7.0,61.45138645,133.30087951,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20170729112437_20170729164308.02,LT8BPF20170723095958_20170808075421.01,LC08CPF_20170701_20170930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.01"N,88°46'17.87"W,41°23'13.85"N,89°36'21.38"W,40°58'39.94"N,87°23'37.72"W,39°40'13.80"N,90°07'30.83"W,39°15'47.74"N,87°58'05.41"W,40.33278,-88.77163,41.38718,-89.60594,40.97776,-87.39381,39.6705,-90.12523,39.26326,-87.96817,LC08_L1TP_023032_20170729_20170811_01_T1,LC80230322017210LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322017210LGN00
LC08_L1TP_022032_20170722_20170728_01_T1,LC80220322017203LGN00,2017/07/22,T1,1, 022, 032, 022, 032,NADIR,-.001,2017/07/28,2017:203:16:28:56.4478680,2017:203:16:29:28.2178660,LGN,DAY,100,100,54,4,8.759,6.476,5.897,9,LPGS_2.7.0,62.69051928,131.3048614,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15761,15521,7881,7761,7881,7761,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20170722161502_20170722163654.02,LT8BPF20170709195400_20170723094622.01,LC08CPF_20170701_20170930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'58.15"N,87°13'16.57"W,41°23'14.10"N,88°03'19.62"W,40°58'39.97"N,85°50'36.28"W,39°40'14.05"N,88°34'29.46"W,39°15'47.77"N,86°25'04.37"W,40.33282,-87.22127,41.38725,-88.05545,40.97777,-85.84341,39.67057,-88.57485,39.26327,-86.41788,LC08_L1TP_022032_20170722_20170728_01_T1,LC80220322017203LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80220322017203LGN00
LC08_L1TP_023032_20170713_20170726_01_T1,LC80230322017194LGN00,2017/07/13,T1,1, 023, 032, 023, 032,NADIR,-.001,2017/07/26,2017:194:16:35:02.3249440,2017:194:16:35:34.0949420,LGN,DAY,74.6,74.6,87,4,8.31,5.347,6.361,9,LPGS_2.7.0,64.02290334,129.35351879,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15921,15681,7961,7841,7961,7841,UTM,16,WGS84,WGS84,15,30,30,LO8BPF20170713162108_20170713164300.01,LT8BPF20170709195400_20170723094622.01,LC08CPF_20170701_20170930_01.01,LC08RLUT_20150303_20431231_01_12.h5,40°19'57.07"N,88°45'34.38"W,41°23'12.98"N,89°35'37.07"W,40°58'39.14"N,87°22'54.59"W,39°40'12.72"N,90°06'46.66"W,39°15'46.76"N,87°57'22.43"W,40.33252,-88.75955,41.38694,-89.59363,40.97754,-87.38183,39.6702,-90.11296,39.26299,-87.95623,LC08_L1TP_023032_20170713_20170726_01_T1,LC80230322017194LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC80230322017194LGN00
