Golf_Course,Event_format
Central Valley ,4-Person Best ball -Count 2 
Willow Run ,2-Person Modified Chapman 
Rocky Run ,2-Person Scramble 
Bakker Crossing ,2-Person Stableford 
Willow Run ,Senior Low Gross & Super Senior Low Gross 
Worthington ,4-Person Bridgemans Best Ball 
Rocky Run ,1man-scramble
Fox Run ,Cries - Drop worst 6 holes 
Bakker Crossing ,2-Person Best Ball 
Central Valley ,Low Gross 
Worthington ,4-Person Lawrence Welk Best Ball 
Fox Run ,2-Person Modified Chapman 
Bakker Crossing ,Low Gross 
Willow Run ,2-Person Scramble 
Rocky Run ,One-Man Tee Mover 
Central Valley ,2-Person Best Ball 
Worthington ,4-Person Best Ball - Count 3 
Bakker Crossing ,2-Person Scramble 
Central Valley ,2-Person Modified Chapman 
Willow Run ,Low Gross 
Fox Run ,"4-Person ""Shamble"" "
